Наименование объекта;Установленная мощность, МВт;Расчетная нагрузка на отопление и вентиляцию, Гкал/ч;Расстояние от центра нагрузок, км;Загрузка электрооборудования, %;
;;;;01 июня-01 октября;01 октября – 01 июня
УКПГ;30;3,04;0,5;90;95
ОБП;9;0,64;3;80;90
ВЖК;2;0,35;3,5;100;100
ПЖК;3;2,58;4;100;100
ПСП;10;1,91;100;100;100
Куст 1;0,7;-;1;50;100
Куст 2;0,8;-;2;50;100
Куст 3;0,5;-;3;50;100
Куст 4;0,9;-;3,3;50;100
Куст 5;1;-;4;50;100
Куст 6;0,9;-;4,5;50;100
Куст 7;0,5;-;5;50;100
Куст 8;1;-;5,2;50;100
Куст 9;1,3;-;5,7;50;100
Куст 10;1;-;6;50;100
Куст 11;0,8;-;6,5;50;100
Куст 12;0,6;-;7;50;100
Куст 13;0,8;-;7,5;50;100
Куст 14;1;-;7,8;50;100
Куст 15;1;-;8;50;100
Куст 16;0,7;-;8,5;50;100
Куст 17;1;-;9;50;100
Куст 18;0,8;-;9,3;50;100
Куст 19;1;-;9,7;50;100
Куст 20;1,1;-;17;50;100
Куст 21;1;-;18;50;100
Куст 22;2,2;-;20;50;100
Куст 23;1,4;-;22;50;100
Куст 24;1,2;-;23;50;100
Куст 25;1,3;-;24;50;100
Куст 26;1,5;-;25;50;100
ЦПС;22;-;0,3;70;55
ГТЭС;114;2,74;0;-;-
